,Modelo,Tema,accuracy,roc_auc,f1score
5,SIN TF-IDF,tema 6,0.998921085080148,0.9968102282669211,0.9961024498886414
24,FAXT TEST,tema 1,0.9955302096177558,0.9967018285555145,0.9839690436705362
28,FAXT TEST,tema 5,0.997996300863132,0.9934945326132589,0.992757660167131
1,SIN TF-IDF,tema 2,0.9966861898890259,0.9934154537500994,0.9880655009714127
25,FAXT TEST,tema 2,0.9959155363748459,0.9897055197645749,0.9852161785216178
27,FAXT TEST,tema 4,0.9969173859432799,0.9896520326580494,0.9885974914481186
26,FAXT TEST,tema 3,0.9967632552404438,0.9885688682889147,0.9877049180327869
15,TF-IDF,tema 8,0.9905209617755857,0.9696013136591496,0.9175050301810865
2,SIN TF-IDF,tema 3,0.9653976572133169,0.9682727951590061,0.8819973718791064
30,FAXT TEST,tema 7,0.938424784217016,0.9633285958221286,0.7964331210191082
3,SIN TF-IDF,tema 4,0.9558415536374846,0.9630157270469513,0.8573562359970127
21,BERT,tema 6,0.9880548705302096,0.9569444444444444,0.9550072568940493
31,FAXT TEST,tema 8,0.8738440197287299,0.9318985194468987,0.4683338746346216
16,BERT,tema 1,0.8592786683107275,0.8656219367134104,0.6306634304207119
18,BERT,tema 3,0.9596177558569667,0.8528635509205613,0.8233310856372218
20,BERT,tema 5,0.9512176325524044,0.838820962766919,0.7957405614714425
22,BERT,tema 7,0.907444512946979,0.8030650563263206,0.6348434174521131
29,FAXT TEST,tema 6,0.9395807644882861,0.7824552612741588,0.7217885024840313
0,SIN TF-IDF,tema 1,0.8602034525277436,0.7633686004477901,<function f1_score at 0x0000019DCCB15FC0>
19,BERT,tema 4,0.9194667077681874,0.7607009864570131,0.6475548060708263
17,BERT,tema 2,0.903437114673243,0.7218561600254514,0.5748218527315915
6,SIN TF-IDF,tema 7,0.8643649815043156,0.5834250356598429,0.2751235584843493
4,SIN TF-IDF,tema 5,0.7672626387176326,0.5654588912575623,0.25468904244817375
14,TF-IDF,tema 7,0.8248304562268804,0.4779366856407371,0.02738553701326487
23,BERT,tema 8,0.8450215782983971,0.4493937127091917,0.002974714923153198
7,SIN TF-IDF,tema 8,0.8284525277435265,0.44127110768255134,0.0035810205908683975
12,TF-IDF,tema 5,0.7392108508014796,0.42955818277985813,0.0005906674542232723
8,TF-IDF,tema 1,0.7323520345252774,0.4245063879210221,0.0
10,TF-IDF,tema 3,0.7287299630086314,0.42247385090768635,0.005087620124364048
11,TF-IDF,tema 4,0.7252620221948212,0.4203847111767203,0.0011207621182404036
13,TF-IDF,tema 6,0.7219482120838471,0.41934542273124953,0.000554016620498615
9,TF-IDF,tema 2,0.5903205918618989,0.3426986399427344,0.0
